iter	TotalF1:average=Micro	MultiClass
0	0.5913026746	1.825466465
1	0.6032326342	1.731267175
2	0.6109293823	1.640929224
3	0.6203578988	1.570391422
4	0.6249759477	1.507332111
5	0.6294015778	1.448156501
6	0.6324802771	1.39591642
7	0.637098326	1.350641089
8	0.6438329806	1.311228421
9	0.6511448913	1.273930103
10	0.655185684	1.239582801
11	0.6586492207	1.208842598
12	0.6621127574	1.177876434
13	0.6680777372	1.150311233
14	0.6738502982	1.125960872
15	0.6765441601	1.10125743
16	0.6796228593	1.078154596
17	0.6807773716	1.057273972
18	0.6827015586	1.036374839
19	0.6880892823	1.017562341
20	0.6903983067	0.9998119032
21	0.6942466808	0.982875581
22	0.6952087743	0.9666063354
23	0.6984798922	0.9519954797
24	0.7038676159	0.9380308426
25	0.7027131037	0.9247176857
26	0.7042524533	0.9125291635
27	0.7052145469	0.9012377183
28	0.7061766404	0.8903132592
29	0.7100250144	0.8786848933
30	0.7119492015	0.8688412861
31	0.714835482	0.8588224539
32	0.714835482	0.8500357403
33	0.7179141813	0.8415587944
34	0.7188762748	0.8333927439
35	0.7221473927	0.8233489197
36	0.7273426977	0.81578756
37	0.7292668847	0.807649132
38	0.7286896286	0.8006030184
39	0.7309986531	0.7935162226
40	0.734269771	0.786373148
41	0.7365787955	0.7788321763
42	0.7361939581	0.7722471911
43	0.7406195882	0.7655345219
44	0.7417741004	0.7596224384
45	0.7436982875	0.7536467478
46	0.7479314989	0.7485072048
47	0.7510101982	0.7428831857
48	0.7513950356	0.7379802669
49	0.7504329421	0.7335467916
50	0.755050991	0.7282081121
51	0.7560130845	0.7233965171
52	0.7600538772	0.718828311
53	0.7606311333	0.7147729083
54	0.7617856456	0.7111570715
55	0.7654416009	0.7072491773
56	0.7679430441	0.7032932724
57	0.7669809505	0.6993737748
58	0.7675582067	0.695021617
59	0.7706369059	0.6915306927
60	0.7714065807	0.6867669674
61	0.7723686742	0.6836279494
62	0.7756397922	0.6790127662
63	0.7767943044	0.6755046011
64	0.7798730037	0.670264339
65	0.7823744468	0.6666132222
66	0.7841062151	0.6636899706
67	0.7846834712	0.6605754747
68	0.7869924957	0.657468871
69	0.7894939388	0.6537743004
70	0.7916105445	0.6500986146
71	0.7933423129	0.6459292452
72	0.7944968251	0.6437378987
73	0.7964210121	0.639309262
74	0.7985376179	0.6363438248
75	0.8020011545	0.6324075563
76	0.8033480854	0.6282103294
77	0.8068116221	0.6238911966
78	0.8085433904	0.6212619285
79	0.8098903213	0.6187037838
80	0.8123917645	0.6153571735
81	0.815278045	0.6118077155
82	0.8156628824	0.6092980043
83	0.8172022321	0.6067344103
84	0.8210506061	0.6037555377
85	0.8216278622	0.6009652786
86	0.8222051183	0.5991499378
87	0.8243217241	0.5958337217
88	0.8248989802	0.5934128445
