iter	Passed	Remaining
0	39	38972
1	74	37384
2	110	36724
3	149	37134
4	187	37318
5	214	35530
6	240	34080
7	268	33295
8	298	32921
9	328	32557
10	356	32032
11	384	31653
12	410	31159
13	434	30628
14	459	30190
15	483	29709
16	506	29305
17	531	28980
18	553	28589
19	577	28319
20	602	28076
21	626	27848
22	649	27592
23	673	27391
24	698	27254
25	724	27134
26	748	26982
27	770	26749
28	792	26547
29	815	26373
30	838	26207
31	860	26022
32	883	25887
33	905	25721
34	928	25593
35	952	25509
36	974	25357
37	997	25255
38	1020	25154
39	1044	25075
40	1067	24975
41	1091	24885
42	1112	24767
43	1135	24679
44	1157	24572
45	1179	24461
46	1200	24345
47	1221	24234
48	1243	24133
49	1265	24050
50	1288	23972
51	1309	23877
52	1332	23801
53	1353	23714
54	1375	23627
55	1396	23543
56	1417	23458
57	1440	23399
58	1461	23311
59	1483	23239
60	1507	23200
61	1529	23135
62	1551	23078
63	1572	23004
64	1596	22970
65	1618	22903
66	1639	22829
67	1660	22756
68	1681	22683
69	1704	22642
70	1727	22608
71	1751	22569
72	1773	22515
73	1797	22497
74	1820	22458
75	1842	22401
76	1864	22349
77	1887	22307
78	1908	22254
79	1929	22190
80	1951	22137
81	1973	22093
82	1994	22040
83	2016	21991
84	2037	21934
85	2059	21888
86	2080	21832
87	2103	21799
88	2125	21756
89	2149	21738
90	2171	21690
91	2194	21659
92	2214	21599
93	2236	21557
94	2259	21520
95	2282	21489
96	2302	21434
97	2323	21384
98	2345	21348
99	2368	21313
100	2388	21261
101	2409	21215
102	2432	21185
103	2454	21143
104	2474	21093
105	2497	21062
106	2518	21016
107	2540	20984
108	2564	20959
109	2584	20914
110	2607	20886
111	2628	20843
112	2650	20806
113	2671	20762
114	2694	20737
115	2717	20706
116	2740	20679
117	2759	20629
118	2781	20592
119	2803	20558
120	2824	20518
121	2846	20482
122	2867	20447
123	2891	20427
124	2913	20396
125	2935	20362
126	2955	20314
127	2978	20288
128	3001	20268
129	3023	20235
130	3047	20216
131	3068	20175
132	3090	20147
133	3112	20117
134	3135	20092
135	3157	20061
136	3178	20019
137	3199	19984
138	3221	19953
139	3242	19921
140	3264	19888
141	3287	19862
142	3310	19838
143	3333	19817
144	3356	19791
145	3378	19764
146	3403	19750
147	3424	19715
148	3446	19683
149	3468	19653
150	3491	19631
151	3513	19604
152	3534	19568
153	3556	19537
154	3579	19512
155	3601	19484
156	3624	19461
157	3648	19443
158	3671	19418
159	3693	19390
160	3715	19360
161	3738	19336
162	3759	19307
163	3782	19282
164	3805	19256
165	3826	19226
166	3849	19201
167	3870	19168
168	3891	19136
169	3913	19108
170	3934	19076
171	3957	19050
172	3979	19025
173	4001	18996
174	4023	18969
175	4046	18943
176	4066	18908
177	4087	18878
178	4110	18851
179	4133	18832
180	4154	18799
181	4175	18768
182	4196	18735
183	4219	18714
184	4241	18687
185	4264	18661
186	4286	18637
187	4307	18606
188	4330	18580
189	4352	18554
190	4374	18529
191	4397	18505
192	4419	18481
193	4443	18459
194	4465	18433
195	4485	18401
196	4509	18380
197	4532	18358
198	4554	18331
199	4575	18303
200	4598	18277
201	4619	18248
202	4640	18220
203	4661	18189
204	4684	18167
205	4706	18141
206	4729	18118
207	4752	18096
208	4774	18070
209	4797	18048
210	4820	18025
211	4842	17999
212	4866	17979
213	4888	17954
214	4911	17934
215	4936	17917
216	4958	17891
217	4980	17867
218	5001	17835
219	5025	17817
220	5048	17795
221	5071	17771
222	5093	17747
223	5115	17720
224	5137	17694
225	5160	17674
226	5184	17654
227	5207	17630
228	5228	17604
229	5250	17577
230	5271	17549
231	5295	17530
232	5317	17503
233	5338	17476
234	5360	17451
235	5382	17423
236	5404	17398
237	5426	17372
238	5447	17346
239	5471	17325
240	5494	17304
241	5516	17278
242	5537	17250
243	5560	17228
244	5582	17202
245	5603	17174
246	5626	17151
247	5648	17126
248	5671	17105
249	5694	17083
250	5717	17062
251	5738	17033
252	5759	17006
253	5781	16980
254	5803	16955
255	5826	16932
256	5849	16912
257	5870	16884
258	5891	16856
259	5913	16829
260	5935	16806
261	5958	16783
262	5983	16766
263	6006	16745
264	6029	16723
265	6051	16698
266	6073	16673
267	6096	16651
268	6117	16625
269	6141	16603
270	6162	16577
271	6184	16553
272	6205	16525
273	6228	16502
274	6248	16473
275	6270	16448
276	6293	16427
277	6316	16405
278	6339	16381
279	6362	16360
280	6386	16340
281	6410	16320
282	6432	16296
283	6454	16271
284	6477	16249
285	6498	16223
286	6520	16198
287	6541	16172
288	6564	16149
289	6588	16129
290	6610	16104
291	6631	16078
292	6652	16052
293	6674	16029
294	6696	16004
295	6718	15979
296	6742	15958
297	6763	15932
298	6786	15910
299	6810	15890
300	6833	15869
301	6857	15849
302	6879	15824
303	6901	15800
304	6922	15775
305	6942	15746
306	6963	15718
307	6985	15693
308	7007	15670
309	7029	15647
310	7050	15619
311	7072	15595
312	7095	15574
313	7118	15551
314	7138	15523
315	7159	15498
316	7182	15476
317	7203	15449
318	7225	15424
319	7246	15398
320	7268	15374
321	7289	15349
322	7312	15327
323	7337	15308
324	7360	15286
325	7382	15263
326	7405	15241
327	7428	15220
328	7450	15194
329	7474	15174
330	7497	15152
331	7517	15126
332	7538	15100
333	7560	15075
334	7582	15050
335	7604	15027
336	7627	15006
337	7650	14984
338	7672	14960
339	7695	14939
340	7718	14916
341	7741	14893
342	7765	14874
343	7788	14852
344	7809	14827
345	7832	14804
346	7854	14781
347	7877	14758
348	7899	14735
349	7922	14712
350	7944	14688
351	7965	14664
352	7989	14644
353	8012	14622
354	8035	14598
355	8057	14575
356	8079	14552
357	8100	14526
358	8125	14507
359	8146	14483
360	8170	14462
361	8192	14438
362	8216	14418
363	8238	14393
364	8260	14370
365	8283	14348
366	8304	14323
367	8325	14298
368	8348	14276
369	8369	14250
370	8390	14226
371	8413	14203
372	8436	14180
373	8457	14156
374	8479	14131
375	8501	14108
376	8522	14083
377	8548	14067
378	8572	14045
379	8594	14021
380	8615	13997
381	8637	13973
382	8659	13950
383	8681	13927
384	8703	13902
385	8725	13880
386	8746	13854
387	8767	13829
388	8788	13804
389	8810	13780
390	8833	13758
391	8854	13734
392	8875	13708
393	8897	13684
394	8920	13662
395	8940	13637
396	8963	13614
397	8984	13590
398	9007	13567
399	9029	13544
400	9051	13521
401	9074	13498
402	9096	13475
403	9119	13452
404	9142	13432
405	9163	13407
406	9185	13383
407	9206	13358
408	9227	13333
409	9248	13308
410	9271	13286
411	9293	13264
412	9316	13241
413	9343	13225
414	9370	13208
415	9396	13191
416	9422	13173
417	9448	13155
418	9473	13136
419	9499	13118
420	9524	13099
421	9549	13079
422	9573	13059
423	9598	13039
424	9623	13019
425	9648	13000
426	9675	12983
427	9700	12964
428	9726	12946
429	9755	12932
430	9784	12917
431	9812	12901
432	9839	12885
433	9866	12866
434	9893	12850
435	9920	12832
436	9945	12813
437	9970	12793
438	9995	12773
439	10021	12754
440	10046	12734
441	10074	12718
442	10104	12704
443	10130	12686
444	10158	12670
445	10186	12653
446	10212	12634
447	10239	12616
448	10263	12595
449	10289	12575
450	10315	12556
451	10341	12537
452	10368	12520
453	10398	12505
454	10427	12490
455	10453	12471
456	10479	12452
457	10507	12434
458	10531	12413
459	10555	12391
460	10580	12371
461	10605	12350
462	10633	12332
463	10657	12311
464	10685	12293
465	10710	12273
466	10735	12252
467	10760	12231
468	10785	12211
469	10811	12191
470	10837	12172
471	10863	12152
472	10890	12134
473	10918	12115
474	10944	12096
475	10969	12075
476	10994	12054
477	11018	12032
478	11043	12011
479	11069	11991
480	11096	11973
481	11122	11952
482	11146	11931
483	11174	11913
484	11202	11895
485	11229	11876
486	11254	11855
487	11278	11833
488	11304	11813
489	11332	11794
490	11359	11776
491	11385	11756
492	11412	11736
493	11438	11716
494	11464	11696
495	11490	11675
496	11516	11655
497	11544	11637
498	11571	11618
499	11596	11596
500	11622	11575
501	11647	11554
502	11675	11536
503	11702	11517
504	11730	11498
505	11757	11478
506	11783	11458
507	11808	11436
508	11832	11414
509	11859	11394
510	11885	11374
511	11911	11353
512	11939	11334
513	11964	11312
514	11991	11292
515	12019	11273
516	12046	11254
517	12072	11233
518	12098	11212
519	12124	11191
520	12149	11169
521	12177	11151
522	12202	11129
523	12228	11108
524	12254	11087
525	12278	11064
526	12301	11041
527	12326	11019
528	12352	10997
529	12378	10977
530	12403	10955
531	12428	10933
532	12453	10911
533	12477	10888
534	12503	10867
535	12528	10845
536	12552	10822
537	12578	10801
538	12605	10781
539	12631	10760
540	12656	10738
541	12683	10717
542	12709	10696
543	12736	10675
544	12761	10653
545	12785	10630
546	12811	10610
547	12838	10589
548	12865	10568
549	12892	10548
550	12917	10526
551	12943	10504
552	12969	10483
553	12994	10461
554	13019	10439
555	13047	10419
556	13073	10397
557	13101	10378
558	13128	10356
559	13153	10334
560	13179	10313
561	13207	10293
562	13232	10270
563	13256	10248
564	13282	10226
565	13308	10204
566	13333	10182
567	13359	10160
568	13384	10138
569	13410	10116
570	13437	10095
571	13461	10072
572	13486	10050
573	13514	10029
574	13543	10010
575	13569	9988
576	13598	9968
577	13623	9946
578	13650	9925
579	13676	9903
580	13703	9882
581	13731	9861
582	13758	9840
583	13785	9819
584	13809	9796
585	13834	9774
586	13860	9751
587	13887	9730
588	13911	9707
589	13934	9683
590	13960	9661
591	13984	9637
592	14007	9613
593	14030	9589
594	14057	9568
595	14081	9545
596	14105	9521
597	14128	9497
598	14155	9476
599	14179	9453
600	14204	9430
601	14228	9406
602	14253	9384
603	14278	9361
604	14305	9339
605	14331	9317
606	14357	9295
607	14385	9275
608	14413	9253
609	14439	9231
610	14465	9209
611	14491	9187
612	14517	9165
613	14543	9142
614	14569	9120
615	14593	9097
616	14619	9074
617	14644	9052
618	14670	9029
619	14696	9007
620	14725	8987
621	14751	8964
622	14776	8941
623	14801	8918
624	14827	8896
625	14852	8873
626	14879	8851
627	14903	8828
628	14931	8806
629	14957	8784
630	14983	8762
631	15010	8740
632	15037	8718
633	15064	8696
634	15090	8674
635	15116	8651
636	15142	8628
637	15167	8605
638	15192	8583
639	15218	8560
640	15244	8537
641	15270	8515
642	15295	8492
643	15322	8470
644	15346	8446
645	15369	8422
646	15393	8398
647	15418	8375
648	15444	8352
649	15469	8329
650	15494	8306
651	15520	8283
652	15544	8260
653	15568	8236
654	15592	8213
655	15617	8189
656	15642	8166
657	15668	8143
658	15693	8120
659	15718	8097
660	15741	8073
661	15765	8049
662	15790	8026
663	15816	8003
664	15843	7981
665	15870	7959
666	15899	7937
667	15925	7915
668	15951	7892
669	15976	7869
670	16001	7845
671	16027	7823
672	16056	7801
673	16083	7779
674	16110	7757
675	16136	7733
676	16161	7710
677	16189	7689
678	16216	7666
679	16243	7643
680	16271	7622
681	16298	7599
682	16322	7575
683	16349	7553
684	16377	7531
685	16403	7508
686	16429	7485
687	16454	7461
688	16480	7439
689	16505	7415
690	16535	7394
691	16562	7371
692	16588	7348
693	16615	7326
694	16642	7303
695	16667	7279
696	16692	7256
697	16717	7233
698	16748	7212
699	16775	7189
700	16801	7166
701	16827	7143
702	16853	7120
703	16879	7096
704	16906	7074
705	16930	7050
