iter	TotalF1:average=Micro	MultiClass
0	0.5614777756	1.823121853
1	0.5553203771	1.702426192
2	0.5603232634	1.610589627
3	0.5693669425	1.536102715
4	0.5759091784	1.473964241
5	0.5807196459	1.4186561
6	0.5791802963	1.365238859
7	0.5847604387	1.323131226
8	0.5884163941	1.287458714
9	0.5932268617	1.255140351
10	0.5978449105	1.225796401
11	0.6030402155	1.198547569
12	0.6080431018	1.17279586
13	0.6149701751	1.149062853
14	0.6188185492	1.128253407
15	0.6232441793	1.108550248
16	0.6269001347	1.090051785
17	0.6265152973	1.073496064
18	0.6317106023	1.057358963
19	0.635751395	1.04402648
20	0.639022513	1.030520938
21	0.6426784683	1.017545469
22	0.6436405619	1.005478802
23	0.6457571676	0.9944072088
24	0.6492207043	0.9832069111
25	0.6521069848	0.9722545781
26	0.655185684	0.9631017158
27	0.6574947085	0.9518145543
28	0.6599961516	0.9427344903
29	0.6621127574	0.9339914189
30	0.6638445257	0.9261021349
31	0.6649990379	0.9178422281
32	0.6651914566	0.9093063969
33	0.6698095055	0.9011780769
34	0.6692322494	0.8946545555
35	0.6721185299	0.8869393497
36	0.672695786	0.8808103432
37	0.6767365788	0.8754289025
38	0.6788531845	0.8678045119
39	0.6796228593	0.8622240295
40	0.6803925342	0.8575342081
41	0.6827015586	0.8524388152
42	0.6844333269	0.845724683
43	0.688281701	0.8389965439
44	0.6938618434	0.8332606261
45	0.69732538	0.8285104569
46	0.6982874735	0.8242196317
47	0.6990571484	0.8207107257
48	0.7023282663	0.8157631176
49	0.7042524533	0.8125657915
50	0.7073311526	0.8093378164
51	0.7071387339	0.8052578308
52	0.7086780835	0.7994765352
53	0.7121416202	0.7925851735
54	0.7150279007	0.7881812198
55	0.7161824129	0.7845263311
56	0.7209928805	0.7795816001
57	0.7233019049	0.7744601036
58	0.7263806042	0.769481074
59	0.7286896286	0.7652936812
60	0.730421397	0.7619820353
61	0.7338849336	0.756735748
62	0.7336925149	0.752740738
63	0.7327304214	0.7494061382
64	0.7354242832	0.744763536
65	0.7358091206	0.7421275711
66	0.7373484703	0.7393192869
67	0.7392726573	0.7362302416
68	0.7404271695	0.7333780658
69	0.7415816817	0.7309373959
70	0.7429286127	0.7263772796
71	0.7440831249	0.7226502713
72	0.746584568	0.7184313874
73	0.7471618241	0.7149759721
74	0.7490860112	0.712469609
75	0.7523571291	0.7093936567
76	0.75370406	0.7068590026
77	0.756975178	0.7030988748
78	0.7571675967	0.7001737016
79	0.7600538772	0.696519139
80	0.7604387146	0.6945809062
81	0.7604387146	0.6924074053
82	0.7635174139	0.6896489468
83	0.7631325765	0.6874467124
84	0.7648643448	0.6850458807
85	0.766018857	0.6823902414
86	0.7681354628	0.6803880118
