iter	Passed	Remaining
0	398	397693
1	483	241023
2	595	197772
3	688	171522
4	773	153955
5	857	142046
6	865	122725
7	931	115528
8	996	109743
9	1064	105428
10	1142	102740
11	1219	100379
12	1287	97736
13	1353	95334
14	1422	93420
15	1485	91388
16	1570	90830
17	1629	88896
18	1714	88509
19	1830	89713
20	1893	88292
21	1963	87274
22	2021	85855
23	2086	84864
24	2150	83858
25	2208	82731
26	2276	82036
27	2340	81242
28	2403	80483
29	2467	79772
30	2532	79150
31	2593	78458
32	2665	78101
33	2731	77613
34	2796	77093
35	2872	76920
36	2932	76323
37	2988	75661
38	3052	75217
39	3130	75123
40	3190	74621
41	3249	74112
42	3309	73665
43	3374	73310
44	3433	72866
45	3491	72410
46	3555	72092
47	3632	72039
48	3694	71709
49	3757	71386
50	3822	71119
51	3886	70848
52	3948	70558
53	4014	70319
54	4078	70071
55	4139	69775
56	4204	69562
57	4349	70648
58	4455	71054
59	4545	71216
60	4656	71685
61	4728	71541
62	4795	71327
63	4869	71218
64	4937	71019
65	5005	70838
66	5082	70770
67	5160	70727
68	5233	70615
69	5307	70513
70	5403	70707
71	5479	70618
72	5558	70589
73	5648	70681
74	5718	70527
75	5784	70326
76	5870	70375
77	5937	70180
78	5999	69945
79	6067	69778
80	6129	69542
81	6191	69315
82	6258	69148
83	6323	68956
84	6398	68872
85	6467	68734
86	6537	68608
87	6606	68470
88	6673	68307
89	6744	68198
90	6830	68226
91	6896	68060
92	6973	68009
93	7053	67982
94	7118	67809
95	7177	67587
96	7250	67495
97	7312	67303
98	7383	67200
99	7447	67029
100	7524	66977
101	7591	66833
102	7657	66682
103	7750	66773
104	7835	66787
105	7914	66747
106	7981	66613
107	8046	66454
108	8107	66274
109	8172	66121
110	8236	65969
111	8304	65839
112	8365	65662
113	8436	65571
114	8501	65426
115	8566	65285
116	8631	65143
117	8717	65159
118	8784	65031
119	8844	64859
120	8912	64744
121	8981	64636
122	9052	64547
123	9129	64497
124	9198	64389
125	9278	64361
126	9343	64225
127	9406	64080
128	9468	63929
129	9524	63744
130	9580	63550
131	9596	63106
132	9656	62947
133	9714	62779
134	9777	62647
135	9841	62521
136	9906	62406
137	9965	62246
138	10037	62176
139	10096	62022
140	10163	61917
141	10221	61761
142	10279	61604
143	10350	61529
144	10424	61465
145	10507	61462
146	10571	61344
147	10648	61302
148	10714	61193
149	10812	61269
150	10911	61348
151	10992	61326
152	11083	61356
153	11189	61470
154	11305	61633
155	11389	61617
156	11459	61529
157	11520	61395
158	11581	61255
159	11646	61141
160	11712	61036
161	11781	60941
162	11855	60879
163	11962	60980
164	12055	61006
165	12133	60958
166	12194	60828
167	12258	60710
168	12336	60659
169	12422	60650
170	12513	60663
171	12586	60590
172	12662	60532
173	12746	60510
174	12823	60455
175	12894	60367
176	12968	60300
177	13036	60200
178	13105	60110
179	13170	59999
180	13235	59887
181	13299	59774
182	13387	59767
183	13470	59738
184	13544	59669
185	13603	59532
186	13657	59375
187	13722	59267
188	13775	59112
189	13833	58975
190	13887	58821
191	13939	58662
192	13988	58492
193	14045	58353
194	14102	58218
195	14158	58079
196	14211	57928
197	14269	57800
198	14324	57659
199	14377	57508
200	14445	57421
201	14516	57348
202	14583	57254
203	14643	57138
204	14710	57048
205	14769	56926
206	14826	56797
207	14878	56653
208	14929	56504
209	14981	56359
210	15036	56225
211	15086	56075
212	15141	55944
213	15196	55815
214	15253	55691
215	15306	55556
216	15360	55425
217	15413	55290
218	15469	55168
219	15530	55062
220	15583	54929
221	15639	54809
222	15697	54695
223	15761	54601
224	15819	54489
225	15872	54359
226	15923	54223
227	15975	54091
228	16032	53977
229	16095	53884
230	16152	53771
231	16210	53661
232	16262	53534
233	16318	53418
234	16376	53311
235	16430	53190
236	16490	53090
237	16545	52972
238	16597	52848
239	16645	52711
240	16702	52601
241	16754	52479
242	16810	52367
243	16863	52250
244	16919	52140
245	16974	52026
246	17024	51900
247	17080	51792
248	17143	51707
249	17201	51603
250	17257	51497
251	17310	51381
252	17364	51268
253	17417	51155
254	17477	51060
255	17535	50961
256	17585	50839
257	17638	50726
258	17692	50619
259	17744	50502
260	17799	50398
261	17853	50290
262	17904	50172
263	17960	50070
264	18015	49967
265	18089	49916
266	18143	49810
267	18201	49715
268	18253	49604
269	18307	49496
270	18355	49376
271	18411	49277
272	18466	49176
273	18518	49068
274	18571	48961
275	18638	48891
276	18703	48816
277	18758	48719
278	18815	48624
279	18871	48527
280	18924	48422
281	18979	48322
282	19032	48221
283	19086	48119
284	19143	48025
285	19203	47941
286	19255	47836
287	19311	47743
288	19367	47648
289	19423	47553
290	19477	47454
291	19529	47353
292	19598	47290
293	19656	47201
294	19712	47109
295	19764	47006
296	19819	46913
297	19871	46810
298	19926	46717
299	19977	46615
300	20035	46527
301	20093	46441
302	20149	46349
303	20216	46284
304	20281	46214
305	20349	46152
306	20417	46089
307	20485	46024
308	20548	45952
309	20612	45879
310	20679	45814
311	20751	45759
312	20812	45680
313	20871	45598
314	20935	45526
315	20997	45449
316	21057	45370
317	21124	45304
318	21193	45243
319	21297	45257
320	21394	45255
321	21456	45177
322	21517	45099
323	21601	45070
324	21698	45066
325	21798	45068
326	21866	45004
327	21956	44984
328	22081	45036
329	22150	44971
330	22254	44978
331	22387	45044
332	22466	45001
333	22532	44929
334	22605	44873
335	22675	44810
336	22746	44750
337	22804	44665
338	22860	44574
339	22927	44506
340	22989	44428
341	23078	44401
342	23183	44407
343	23291	44415
344	23348	44327
345	23418	44265
346	23482	44190
347	23553	44129
348	23636	44088
349	23712	44037
350	23773	43956
351	23829	43868
352	23888	43784
353	23943	43693
354	23997	43600
355	24058	43520
356	24117	43439
357	24180	43362
358	24240	43281
359	24295	43192
360	24348	43098
361	24413	43027
362	24485	42967
363	24563	42919
364	24622	42836
365	24682	42756
366	24747	42684
367	24801	42594
368	24855	42503
369	24917	42427
370	24973	42339
371	25029	42254
372	25084	42165
373	25142	42083
374	25202	42003
375	25257	41916
376	25316	41836
377	25372	41750
378	25436	41677
379	25494	41596
380	25553	41516
381	25614	41439
382	25681	41372
383	25739	41290
384	25802	41217
385	25866	41145
386	25925	41064
387	25980	40980
388	26034	40891
389	26089	40806
390	26149	40728
391	26211	40654
392	26272	40578
393	26334	40504
394	26396	40429
395	26458	40355
396	26519	40280
397	26580	40204
398	26636	40121
399	26691	40036
400	26753	39964
401	26807	39878
402	26871	39807
403	26931	39731
404	26988	39649
405	27076	39615
406	27152	39561
407	27219	39495
408	27280	39419
409	27342	39346
